Штрихкод;Номенклатура;;Габарит;Ед изм;Склад;Документ поступления;Номер;Дата;Количество;Стоимость;Поставщик
2000000014760;00490240310 Круг В3 - 32 х 750 ХН70ВМЮТ-ВД (ЭИ-765 ВД) ТУ 14-131-1196-2016;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 0000-001651 от 30.04.2018 0:00:00;0000-001651;30.04.2018 0:00;230;801780.00;Электросталь АО Металлургический завод
2000000013381;00490240310 Круг В3 - 32 х 750 ХН70ВМЮТ-ВД (ЭИ-765 ВД) ТУ 14-131-1196-2016;;;кг;Склад цех 7;Поступление товаров и услуг 241 от 26.12.2017 23:59:59;241;26.12.2017 23:59;108.39;385326.45;Электросталь АО Металлургический завод
2000000010649;00490240366 Круг В3 - 36 х 750 ХН70ВМЮТ-ВД (ЭИ-765 ВД) ТУ 14-131-1196-2016;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 241 от 26.12.2017 23:59:59;241;26.12.2017 23:59;303;1077165.00;Электросталь АО Металлургический завод
2000000010649;00490240366 Круг В3 - 36 х 750 ХН70ВМЮТ-ВД (ЭИ-765 ВД) ТУ 14-131-1196-2016;;;кг;Склад цех 9;Поступление товаров и услуг 241 от 26.12.2017 23:59:59;241;26.12.2017 23:59;10.15;36083.25;Электросталь АО Металлургический завод
2000000008356;20470100052 Клапан предохранительный КП-20-3, Ру 6 МПа (давление срабатывания 6 МПа) ИШУД.306562.002-01, ИШУД.30;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 0000-000173 от 25.01.2018 15:35:52;0000-000173;25.01.2018 15:35;4;1028334.52;ОРИОН НПП ООО
2000000008363;20470450003 Редуктор гидравлический РГ-6-3 (давление срабатывания 6 МПа) ИШУД.306142.001-03, ИШУД.306142.001 ТУ;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 0000-000173 от 25.01.2018 15:35:52;0000-000173;25.01.2018 15:35;2;235367.36;ОРИОН НПП ООО
2000000005379;20470100053 Клапан запорный (угловой, штуцерный, бессальниковый, бронза, DN 6, PN 160, ИТШЛ.491271.001-01, 521-03.476-01;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 0000-001181 от 30.03.2018 23:59:59;0000-001181;30.03.2018 23:59;2;19389.00;ЗАВОД БУРЕВЕСТНИК ОАО
2000000007342;20470100053 Клапан запорный (угловой, штуцерный, бессальниковый, бронза, DN 6, PN 160, ИТШЛ.491271.001-01, 521-03.476-01;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 0000-001174 от 30.03.2018 0:00:00;0000-001174;30.03.2018 0:00;2;19389.00;ЗАВОД БУРЕВЕСТНИК ОАО
2000000010397;00731415226 Лист БТ - ПН - О - 1 х 1250 х 2500 ГОСТ 19904-90/08Х18Н10Т - М4а ГОСТ 5582-75;;;кг;Склад цех 8;Поступление товаров и услуг 00000000056 от 12.05.2017 12:27:33;56;12.05.2017 12:27;19.9;4300.43;МЕЧЕЛ-СЕРВИС ООО
2000000010427;00698010022 Лист Б - О - ПН - 5 x 1500 x 6000 ГОСТ 19903-2015 /08Х18Н10Т - М2б ГОСТ 7350-77;;;кг;Склад цех 14;Поступление товаров и услуг 00000000055 от 12.05.2017 11:56:26;55;12.05.2017 11:56;118.405;22075.52;МЕЧЕЛ-СЕРВИС ООО
2000000014456;00698010022 Лист Б - О - ПН - 5 x 1500 x 6000 ГОСТ 19903-2015 /08Х18Н10Т - М2б ГОСТ 7350-77;;;кг;Склад цех 14;Поступление товаров и услуг 00000000165 от 13.09.2017 15:48:42;165;13.09.2017 15:48;42.76;7972.20;МЕЧЕЛ-СЕРВИС ООО
2000000010434;00698010038 Лист Б - О - ПН - 6 x 1500 x 6000 ГОСТ 19903-2015 /08Х18Н10Т - М2б ГОСТ 7350-77;;;кг;Склад цех 8;Поступление товаров и услуг 00000000055 от 12.05.2017 11:56:26;55;12.05.2017 11:56;241.1;44950.84;МЕЧЕЛ-СЕРВИС ООО
2000000009193;00301378195 Уголок В - 50х50х5 ГОСТ 8509-93/Ст3сп 5 ГОСТ 535-2005 н/д;;;кг;Склад цех 8;Поступление товаров и услуг 00000000130 от 31.07.2017 0:00:00;130;31.07.2017 0:00;51.96;2263.90;ПЕТРОСТРОЙ ООО
2000000009209;00301378195 Уголок В - 50х50х5 ГОСТ 8509-93/Ст3сп 5 ГОСТ 535-2005 н/д;;;кг;Склад цех 8;Поступление товаров и услуг 0000-001477 от 24.04.2018 16:17:32;0000-001477;24.04.2018 16:17;13.64;655.40;СТАЛЬКОМПЛЕКТ ООО
2000000010526;00390304828 Круг В1 - 130 ГОСТ 2590-2006/40ХН - 3 ГОСТ 4543-71;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 00000000186 от 22.09.2017 23:59:59;186;22.09.2017 23:59;460;33135.59;КЛМ ООО ГК
2000000013244;00390304632 Круг В1 - 75 ГОСТ 2590-2006/40ХН - 3 ГОСТ 4543-71;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 00000000184 от 22.09.2017 23:59:59;184;22.09.2017 23:59;206;14838.98;КЛМ ООО ГК
2000000013213;01638732207 Лента 10 - М - ТШ - 2 - 0.2 х 200 ГОСТ 503-81;;;кг;Склад цех 14;Поступление товаров и услуг 00000000158 от 31.08.2017 23:59:59;158;31.08.2017 23:59;0.972;740.94;ФЕНИКС-СТАЛЬ ТД ООО
2000000010533;00301642317 Уголок В - 100х63х6 ГОСТ 8510-86/Ст3сп 2 ГОСТ 535-2005;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 00000000182 от 22.09.2017 23:59:59;182;22.09.2017 23:59;92;4108.72;СТАЛЬКОМПЛЕКТ ООО
2000000009254;00390304688 Круг В1 - 85 ГОСТ 2590-2006/40ХН - 3 ГОСТ 4543-71;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 00000000185 от 22.09.2017 23:59:59;185;22.09.2017 23:59;266;19161.02;КЛМ ООО ГК
2000000013190;00698316026 Лист Б - О - ПН - 5 x 1250 x 2500 ГОСТ 19903-2015/12Х18Н10Т - М5б ГОСТ 7350-77;;;кг;Склад цех 14;Поступление товаров и услуг 00000000153 от 28.08.2017 23:59:59;153;28.08.2017 23:59;90;16779.66;МЕЧЕЛ-СЕРВИС ООО
2000000014562;00731215068 Лист БТ - ПН - О - 0.5 х 1250 х б/ук ГОСТ 19904-90/08Х18Н10Т - М3а ГОСТ 5582-75;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 00000000176 от 21.09.2017 16:33:02;176;21.09.2017 16:33;13;3283.05;СЕВЗАПСЕРВИС ООО
2000000007397;20470120020 Комплект манометра МИД-ПЗ-22371-6кгс/см2-2,5 нип.1А+ПВ-02.3, 127В,50Гц, ТУ 25.05.1467-73;;;компл;Склад  9 Гидрооборуд.;Поступление товаров и услуг 0000-002102 от 09.06.2018 9:10:59;0000-002102;09.06.2018 9:10;8;1737328.00;Манометр ООО
2000000005409;20470120021 Комплект манометра МИД-ПЗ-22331-100кгс/см2-2,5 нип.2+ПВ-02.3, 127В,50Гц, ТУ 25.05.1467-73;;;компл;Склад  9 Гидрооборуд.;Поступление товаров и услуг 0000-002102 от 09.06.2018 9:10:59;0000-002102;09.06.2018 9:10;8;1605968.00;Манометр ООО
2000000008424;20470120022 Комплект мановакууметра МИД-ПЗ-22371- (-1+1,5кгс/см2)-2,5 нип.2+ПВ-02.3, 127В,50Гц, ТУ 25.05.1467;;;компл;Склад  9 Гидрооборуд.;Поступление товаров и услуг 0000-002102 от 09.06.2018 9:10:59;0000-002102;09.06.2018 9:10;8;1737328.00;Манометр ООО
2000000013237;00301541343 Уголок А - 100х63х8 ГОСТ 8510-86/Ст3пс 2 ГОСТ 535-2005 н/д;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 00000000183 от 22.09.2017 23:59:59;183;22.09.2017 23:59;58;2998.02;АВАНГАРД-СПБ ООО
